id_contrato,ruc,gore,fecha,anio,monto_contrato
819,20541706454,ANCASH,30/12/2021,2021,5060206.93
863,20542030802,ANCASH,22/07/2021,2021,989502.04
846,20542040786,ANCASH,04/11/2021,2021,5743656.44
835,20542049228,ANCASH,07/12/2021,2021,1852188.65
861,20542132982,ANCASH,18/08/2021,2021,5451617.04
860,20542141116,ANCASH,19/08/2021,2021,1886577.47
852,20542191059,ANCASH,05/10/2021,2021,2425802.29
847,20542191059,ANCASH,28/10/2021,2021,1836913.25
844,20542191059,ANCASH,16/11/2021,2021,4296922.47
832,20542191059,ANCASH,07/12/2021,2021,3712812.82
833,20542191059,ANCASH,07/12/2021,2021,2284809.0
815,20542438984,ANCASH,30/12/2021,2021,908059.86
850,20544063392,ANCASH,14/10/2021,2021,1227171.37
818,20549761608,ANCASH,30/12/2021,2021,1963767.39
855,20569181756,ANCASH,16/09/2021,2021,2950000.0
857,20571135885,ANCASH,24/08/2021,2021,2147509.13
858,20571135885,ANCASH,24/08/2021,2021,2084614.47
838,20571135885,ANCASH,29/11/2021,2021,1918452.99
832,20571135885,ANCASH,07/12/2021,2021,3712812.82
839,20571184151,ANCASH,29/11/2021,2021,4780240.62
831,20571184151,ANCASH,07/12/2021,2021,7918951.01
847,20571238269,ANCASH,28/10/2021,2021,1836913.25
844,20571250552,ANCASH,16/11/2021,2021,4296922.47
817,20571288363,ANCASH,30/12/2021,2021,3227110.91
838,20571309891,ANCASH,29/11/2021,2021,1918452.99
859,20571395283,ANCASH,24/08/2021,2021,3690101.62
853,20571395283,ANCASH,27/09/2021,2021,2058000.0
842,20571395283,ANCASH,24/11/2021,2021,4616563.82
820,20571395283,ANCASH,30/12/2021,2021,3625771.79
862,20571395364,ANCASH,09/08/2021,2021,3016113.85
857,20571395364,ANCASH,24/08/2021,2021,2147509.13
828,20600403207,ANCASH,15/12/2021,2021,2876120.71
840,20600683650,ANCASH,29/11/2021,2021,7014513.99
823,20600683650,ANCASH,28/12/2021,2021,6666162.05
859,20600770226,ANCASH,24/08/2021,2021,3690101.62
822,20601052980,ANCASH,28/12/2021,2021,1432956.9
866,20601175411,ANCASH,04/05/2021,2021,411603.81
858,20601568561,ANCASH,24/08/2021,2021,2084614.47
845,20602541216,ANCASH,04/11/2021,2021,977334.19
853,20603092440,ANCASH,27/09/2021,2021,2058000.0
837,20603321309,ANCASH,30/11/2021,2021,3303156.54
842,20604232610,ANCASH,24/11/2021,2021,4616563.82
828,20605871420,ANCASH,15/12/2021,2021,2876120.71
840,20605992146,ANCASH,29/11/2021,2021,7014513.99
841,20606854081,ANCASH,24/11/2021,2021,1665841.43
822,20608456857,ANCASH,28/12/2021,2021,1432956.9
850,20608495267,ANCASH,14/10/2021,2021,1227171.37
846,20608705334,ANCASH,04/11/2021,2021,5743656.44
1032,20527479704,APURIMAC,24/03/2021,2021,10031182.28
1039,20527760071,APURIMAC,18/11/2021,2021,4331170.01
1132,20264545812,AREQUIPA,01/03/2021,2021,7234949.0
1129,20344483702,AREQUIPA,29/04/2021,2021,1974127.56
1130,20456323007,AREQUIPA,19/03/2021,2021,4732448.8
1129,20534029927,AREQUIPA,29/04/2021,2021,1974127.56
1131,20563373009,AREQUIPA,11/03/2021,2021,189820194.39
1128,20600929438,AREQUIPA,22/07/2021,2021,7619548.76
1131,20601116082,AREQUIPA,11/03/2021,2021,189820194.39
1255,20218090550,AYACUCHO,29/09/2021,2021,19897870.79
1256,20407412592,AYACUCHO,06/08/2021,2021,3728902.89
1255,20476423539,AYACUCHO,29/09/2021,2021,19897870.79
1256,20494485118,AYACUCHO,06/08/2021,2021,3728902.89
1489,20453627951,CAJAMARCA,10/02/2021,2021,5264145.35
1488,20481813841,CAJAMARCA,17/02/2021,2021,5844271.84
1489,20495656234,CAJAMARCA,10/02/2021,2021,5264145.35
1484,20495865747,CAJAMARCA,03/11/2021,2021,5282234.59
1485,20495865747,CAJAMARCA,03/11/2021,2021,3416460.79
1484,20496021038,CAJAMARCA,03/11/2021,2021,5282234.59
1487,20496159811,CAJAMARCA,12/05/2021,2021,13312332.24
1486,20496159811,CAJAMARCA,30/06/2021,2021,9167870.71
1487,20529467606,CAJAMARCA,12/05/2021,2021,13312332.24
1486,20529467606,CAJAMARCA,30/06/2021,2021,9167870.71
1485,20601473454,CAJAMARCA,03/11/2021,2021,3416460.79
1792,20261295246,CALLAO,26/05/2021,2021,1142090.68
1784,20296637697,CALLAO,07/12/2021,2021,116308466.02
1791,20335343701,CALLAO,11/06/2021,2021,101198.66
1782,20489539137,CALLAO,28/12/2021,2021,410877.69
1782,20489665604,CALLAO,28/12/2021,2021,410877.69
1794,20493043073,CALLAO,09/04/2021,2021,134696.3
1790,20493043073,CALLAO,16/07/2021,2021,1774586.32
1793,20506003351,CALLAO,21/05/2021,2021,1475659.75
1786,20507503889,CALLAO,12/10/2021,2021,410708.77
1795,20513051833,CALLAO,30/03/2021,2021,2055201.65
1789,20521401703,CALLAO,06/09/2021,2021,1407148.99
1790,20525089917,CALLAO,16/07/2021,2021,1774586.32
1783,20534004185,CALLAO,13/12/2021,2021,442697.85
1788,20543060918,CALLAO,30/09/2021,2021,737064.89
1785,20543060918,CALLAO,19/10/2021,2021,1292785.59
1787,20546240852,CALLAO,12/10/2021,2021,1769925.29
1796,20547896026,CALLAO,10/03/2021,2021,1475659.75
1789,20601500648,CALLAO,06/09/2021,2021,1407148.99
1784,20602979173,CALLAO,07/12/2021,2021,116308466.02
1974,20524375631,CUSCO,21/07/2021,2021,3294847.5
1975,20527109362,CUSCO,16/03/2021,2021,9343694.08
1973,20527942773,CUSCO,23/08/2021,2021,2724180.45
