gore,anio,cod_cgr,entidad_inco,puntaje_inco,rango_inco
LORETO,2024,5345,REGION LORETO-SEDE CENTRAL,67.9,Alto
MADRE DE DIOS,2024,5346,REGION MADRE DE DIOS-SEDE CENTRAL,48.5,Mediano alto
MOQUEGUA,2024,5347,REGION MOQUEGUA-SEDE CENTRAL,66.4,Alto
PASCO,2024,5348,REGION PASCO-SEDE CENTRAL,61.4,Alto
PIURA,2024,5349,REGION PIURA-SEDE CENTRAL,60.3,Alto
PUNO,2024,5350,REGION PUNO-SEDE CENTRAL,63.7,Alto
SAN MARTIN,2024,5351,REGION SAN MARTIN-SEDE CENTRAL,48.3,Mediano alto
TACNA,2024,5352,REGION TACNA-SEDE CENTRAL,63.2,Alto
TUMBES,2024,5353,REGION TUMBES-SEDE CENTRAL,62.0,Alto
UCAYALI,2024,5354,REGION UCAYALI-SEDE CENTRAL,64.0,Alto
