DEPARTAMENTO,FECHA,EMPRESA_1,EMPRESA_2,EMPRESA_3,EMPRESA_4,EMPRESA_5,EMPRESA_6,EMPRESA_7,EMPRESA_8,EMPRESA_9,MONTO
AMAZONAS,14/11/2013,10165410446,20479572659,20487980049,,,,,,,"1,604,433.39"
AMAZONAS,07/11/2013,20480188404,20539240855,,,,,,,,"930,545.41"
AMAZONAS,07/11/2013,20538980928,20480421478,,,,,,,,"3,284,593.50"
AMAZONAS,07/11/2013,20480805705,20479683728,,,,,,,,"1,838,952.00"
AMAZONAS,21/10/2013,20503981298,20480214928,20535965502,,,,,,,"4,023,552.46"
AMAZONAS,21/10/2013,20487499685,20479683728,,,,,,,,"1,390,000.00"
AMAZONAS,17/10/2013,20480214928,,,,,,,,,"364,040.08"
AMAZONAS,14/10/2013,20539202091,,,,,,,,,"428,108.76"
AMAZONAS,03/10/2013,20480833822,20507983481,20479683728,,,,,,,"5,070,000.00"
AMAZONAS,26/09/2013,20480188404,,,,,,,,,"541,736.95"
AMAZONAS,25/09/2013,20487499685,20480833822,20479683728,,,,,,,"971,430.00"
AMAZONAS,23/09/2013,20539090861,,,,,,,,,"862,114.89"
AMAZONAS,11/09/2013,20508461489,20512419837,,,,,,,,"1,705,915.83"
AMAZONAS,02/09/2013,10066917415,20479840688,,,,,,,,"9,760,929.66"
AMAZONAS,09/08/2013,20437405710,20539134231,20545836131,10096422461,,,,,,"1,197,620.18"
AMAZONAS,02/08/2013,20480214928,,,,,,,,,"275,800.00"
AMAZONAS,26/07/2013,20480762208,,,,,,,,,"300,700.00"
AMAZONAS,24/07/2013,20480342926,,,,,,,,,"2,456,530.06"
AMAZONAS,24/07/2013,20479683728,20519615445,,,,,,,,"8,200,000.00"
AMAZONAS,31/05/2013,20487575888,20480791305,,,,,,,,"296,098.44"
AMAZONAS,04/04/2013,20487575888,20480791305,,,,,,,,"296,098.44"
AMAZONAS,15/03/2013,20480522151,,,,,,,,,"117,958.67"
AMAZONAS,08/02/2013,20479646440,,,,,,,,,"480,383.03"
AMAZONAS,07/02/2013,20480009755,20479809764,,,,,,,,"1,066,835.00"
AMAZONAS,07/02/2013,20538912680,,,,,,,,,"528,000.00"
AMAZONAS,10/10/2014,20503981298,20480214928,,,,,,,,"2,365,359.78"
AMAZONAS,11/09/2014,20505885725,20538980928,,,,,,,,"6,317,467.34"
AMAZONAS,09/09/2014,20553360910,20109565017,,,,,,,,"177,904,002.17"
AMAZONAS,21/08/2014,20538980928,20487459039,,,,,,,,"6,678,582.37"
AMAZONAS,13/08/2014,20561240125,20561234079,20539202091,20487571891,20480188404,20561234583,,,,"3,649,553.34"
AMAZONAS,06/08/2014,20539221982,20487504352,20487459039,,,,,,,"7,608,729.03"
AMAZONAS,23/07/2014,20548931321,99000003278,20109565017,,,,,,,"59,902,530.00"
AMAZONAS,18/07/2014,20479808440,20539278232,,,,,,,,"402,000.00"
AMAZONAS,04/07/2014,20538980928,20505885725,,,,,,,,"7,814,334.92"
AMAZONAS,25/06/2014,20480188404,20539273605,20479808440,,,,,,,"4,587,000.00"
AMAZONAS,13/03/2014,20479683728,20480833822,,,,,,,,"4,715,000.00"
AMAZONAS,24/12/2015,20479809098,,,,,,,,,"98,156.00"
AMAZONAS,06/11/2015,20495948871,,,,,,,,,"2,028,619.69"
AMAZONAS,30/10/2015,20450269060,,,,,,,,,"810,191.70"
AMAZONAS,30/10/2015,20487499685,20488057287,,,,,,,,"657,551.64"
AMAZONAS,30/10/2015,20450269060,,,,,,,,,"875,410.04"
AMAZONAS,30/10/2015,20487499685,20488057287,,,,,,,,"667,832.92"
AMAZONAS,30/10/2015,20487931188,,,,,,,,,"700,813.17"
AMAZONAS,06/10/2015,20487499685,,,,,,,,,"670,381.27"
AMAZONAS,06/10/2015,20487499685,,,,,,,,,"542,655.41"
AMAZONAS,06/10/2015,20480391200,,,,,,,,,"734,520.96"
AMAZONAS,06/10/2015,20480391200,,,,,,,,,"656,972.77"
AMAZONAS,21/09/2015,20101446639,20487499685,,,,,,,,"1,847,212.00"
AMAZONAS,18/08/2015,20480821735,,,,,,,,,"563,965.07"
AMAZONAS,21/07/2015,20487499685,20488057287,,,,,,,,"1,182,239.92"
AMAZONAS,25/02/2015,10102838721,20488057287,,,,,,,,"1,281,162.00"
AMAZONAS,30/12/2016,10166918851,20600156579,,,,,,,,"274,000.58"
AMAZONAS,22/12/2016,20570683374,20493955315,,,,,,,,"339,033.78"
AMAZONAS,22/12/2016,20493955315,20570683374,,,,,,,,"282,769.09"
AMAZONAS,22/12/2016,20488057287,10166918851,,,,,,,,"197,920.69"
AMAZONAS,22/12/2016,20570683374,20493955315,,,,,,,,"335,841.69"
AMAZONAS,14/12/2016,20480214928,,,,,,,,,"780,743.33"
AMAZONAS,14/12/2016,20600143051,20539094000,20480789408,20480427913,,,,,,"451,279.83"
AMAZONAS,13/12/2016,20480836252,20600845561,,,,,,,,"1,044,336.37"
AMAZONAS,12/12/2016,20487976955,,,,,,,,,"420,000.00"
AMAZONAS,09/12/2016,20538930157,,,,,,,,,"304,705.03"
